dataset,id,name,smiles,inchi,adduct,ccs,is_3D,gas,formula,mz,type
,AllCCS00000301,Benzoic Acid,C1=CC=C(C=C1)C(=O)O,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",[M+H]+,122.2,True,N2,C7H6O2,123.0441,Experimental CCS
,AllCCS00000301,Benzoic Acid,C1=CC=C(C=C1)C(=O)O,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",[M-H]-,121.8,True,N2,C7H6O2,121.0295,Experimental CCS
,AllCCS00000302,Menadione,CC1=CC(C2=CC=CC=C2C1=O)=O,"InChI=1S/C11H8O2/c1-7-6-10(12)8-4-2-3-5-9(8)11(7)13/h2-6H,1H3",[M+H]+,135.1,True,N2,C11H8O2,173.0597,Experimental CCS
,AllCCS00000302,Menadione,CC1=CC(C2=CC=CC=C2C1=O)=O,"InChI=1S/C11H8O2/c1-7-6-10(12)8-4-2-3-5-9(8)11(7)13/h2-6H,1H3",[M-H]-,129.8,True,N2,C11H8O2,171.0451,Experimental CCS
,AllCCS00000303,3-Aminosalicylic acid,C1=CC(=C(C(=C1)N)O)C(=O)O,"InChI=1S/C7H7NO3/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,9H,8H2,(H,10,11)",[M-H]-,122.1,True,N2,C7H7NO3,152.0353,Experimental CCS
,AllCCS00000304,3-Hydroxybenzoate,C1=CC(=CC(=C1)O)C(=O)O,"InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)",[M-H]-,125.4,True,N2,C7H6O3,137.0244,Experimental CCS
,AllCCS00000305,3-Methoxy-4-Hydroxyphenylglycol Sulfate,COC=1C=C(C=CC1O)C(CO)OS(O)(=O)=O,"InChI=1S/C9H12O7S/c1-15-8-4-6(2-3-7(8)11)9(5-10)16-17(12,13)14/h2-4,9-11H,5H2,1H3,(H,12,13,14)",[M-H+2K]+,169.8,True,N2,C9H12O7S,340.9495,Experimental CCS
,AllCCS00000305,3-Methoxy-4-Hydroxyphenylglycol Sulfate,COC=1C=C(C=CC1O)C(CO)OS(O)(=O)=O,"InChI=1S/C9H12O7S/c1-15-8-4-6(2-3-7(8)11)9(5-10)16-17(12,13)14/h2-4,9-11H,5H2,1H3,(H,12,13,14)",[M-H]-,152.9,True,N2,C9H12O7S,263.0231,Experimental CCS
,AllCCS00000306,Formylanthranilic acid,C1=CC=C(C(=C1)C(=O)O)N=CO,"InChI=1S/C8H7NO3/c10-5-9-7-4-2-1-3-6(7)8(11)12/h1-5H,(H,9,10)(H,11,12)",[M-H2O+H]+,125.7,True,N2,C8H7NO3,148.0393,Experimental CCS
,AllCCS00000306,Formylanthranilic acid,C1=CC=C(C(=C1)C(=O)O)N=CO,"InChI=1S/C8H7NO3/c10-5-9-7-4-2-1-3-6(7)8(11)12/h1-5H,(H,9,10)(H,11,12)",[M-H]-,127.3,True,N2,C8H7NO3,164.0353,Experimental CCS
,AllCCS00000307,Hordenine,CN(C)CCC1=CC=C(C=C1)O,"InChI=1S/C10H15NO/c1-11(2)8-7-9-3-5-10(12)6-4-9/h3-6,12H,7-8H2,1-2H3",[M+H]+,137.9,True,N2,C10H15NO,166.1227,Experimental CCS
,AllCCS00000307,Hordenine,CN(C)CCC1=CC=C(C=C1)O,"InChI=1S/C10H15NO/c1-11(2)8-7-9-3-5-10(12)6-4-9/h3-6,12H,7-8H2,1-2H3",[M-H]-,143.2,True,N2,C10H15NO,164.1081,Experimental CCS
,AllCCS00000308,Vanillin,COC=1C=C(C=CC1O)C=O,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",[M+H]+,129.6,True,N2,C8H8O3,153.0546,Experimental CCS
,AllCCS00000308,Vanillin,COC=1C=C(C=CC1O)C=O,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",[M-H]-,124.3,True,N2,C8H8O3,151.04,Experimental CCS
,AllCCS00000309,Coniferol,COC=1C=C(C(=C(CO)[H])[H])C=CC1O,"InChI=1S/C10H12O3/c1-13-10-7-8(3-2-6-11)4-5-9(10)12/h2-5,7,11-12H,6H2,1H3/b3-2+",[M-H2O+H]+,128.6,True,N2,C10H12O3,163.0753,Experimental CCS
,AllCCS00000309,Coniferol,COC=1C=C(C(=C(CO)[H])[H])C=CC1O,"InChI=1S/C10H12O3/c1-13-10-7-8(3-2-6-11)4-5-9(10)12/h2-5,7,11-12H,6H2,1H3/b3-2+",[M-H]-,138.2,True,N2,C10H12O3,179.0713,Experimental CCS
,AllCCS00000310,Sinapyl alcohol,COC=1C=C(C(=C(CO)[H])[H])C=C(C1O)OC,"InChI=1S/C11H14O4/c1-14-9-6-8(4-3-5-12)7-10(15-2)11(9)13/h3-4,6-7,12-13H,5H2,1-2H3/b4-3+",[M-H2O+H]+,136.6,True,N2,C11H14O4,193.0859,Experimental CCS
,AllCCS00000310,Sinapyl alcohol,COC=1C=C(C(=C(CO)[H])[H])C=C(C1O)OC,"InChI=1S/C11H14O4/c1-14-9-6-8(4-3-5-12)7-10(15-2)11(9)13/h3-4,6-7,12-13H,5H2,1-2H3/b4-3+",[M-H]-,146.8,True,N2,C11H14O4,209.0819,Experimental CCS
,AllCCS00000311,Aminobenzoic acid,C=1C=C(C=CC1C(O)=O)N,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)",[M+H]+,131.9,True,N2,C7H7NO2,138.055,Experimental CCS
,AllCCS00000311,Aminobenzoic acid,C=1C=C(C=CC1C(O)=O)N,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)",[M-H]-,128.1,True,N2,C7H7NO2,136.0404,Experimental CCS
,AllCCS00000312,Salicylic acid,C1=CC=C(C(=C1)C(=O)O)O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",[M-H]-,120.7,True,N2,C7H6O3,137.0244,Experimental CCS
,AllCCS00000313,Biotin,C(CCC(=O)O)CC1(C2(C(CS1)(N=C(N2)O)[H])[H])[H],"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)",[M+H]+,151.3,True,N2,C10H16N2O3S,245.0955,Experimental CCS
,AllCCS00000313,Biotin,C(CCC(=O)O)CC1(C2(C(CS1)(N=C(N2)O)[H])[H])[H],"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)",[M+Na]+,161.9,True,N2,C10H16N2O3S,267.0775,Experimental CCS
,AllCCS00000313,Biotin,C(CCC(=O)O)CC1(C2(C(CS1)(N=C(N2)O)[H])[H])[H],"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)",[M+K]+,161.1,True,N2,C10H16N2O3S,283.0514,Experimental CCS
,AllCCS00000313,Biotin,C(CCC(=O)O)CC1(C2(C(CS1)(N=C(N2)O)[H])[H])[H],"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)",[M-H]-,156.0,True,N2,C10H16N2O3S,243.0809,Experimental CCS
,AllCCS00000313,Biotin,C(CCC(=O)O)CC1(C2(C(CS1)(N=C(N2)O)[H])[H])[H],"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)",[M+Na-2H]-,152.1,True,N2,C10H16N2O3S,265.0629,Experimental CCS
,AllCCS00000314,Bilirubin,C=CC1=C(C)C(=NC1=C(C2=C(C)C(CCC(=O)O)=C(CC3=C(CCC(=O)O)C(C)=C(C(=C4C(C)=C(C=C)C(=N4)O)[H])N3)N2)[H])O,"InChI=1S/C33H36N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-14,34-35H,1-2,9-12,15H2,3-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/b26-13-,27-14-",[M-H]-,247.2,True,N2,C33H36N4O6,583.2562,Experimental CCS
,AllCCS00000315,Sepiapterin,CC(C(C=1CNC2=C(C(=NC(=N)N2)O)N1)=O)(O)[H],"InChI=1S/C9H11N5O3/c1-3(15)6(16)4-2-11-7-5(12-4)8(17)14-9(10)13-7/h3,15H,2H2,1H3,(H4,10,11,13,14,17)",[M+H]+,153.0,True,N2,C9H11N5O3,238.0935,Experimental CCS
