dataset,id,name,smiles,inchi,adduct,ccs,is_3D,gas,formula
,,16:0-18:2 PA,,"InChI=1/C37H69O8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-37(39)45-35(34-44-46(40,41)42)33-43-36(38)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13,17-18,35H,3-10,12,14-16,19-34H2,1-2H3,(H2,40,41,42)/b13-11-,18-17-/t35-/m1/s1",[M+Na]+,"267,60",True,N2,C37H69O8P
,,16:0-18:2 PG,,"InChI=1S/C40H75O10P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-40(44)50-38(36-49-51(45,46)48-34-37(42)33-41)35-47-39(43)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13,17-18,37-38,41-42H,3-10,12,14-16,19-36H2,1-2H3,(H,45,46)/b13-11-,18-17-/t37-,38+/m0/s1",[M+Na]+,"281,30",True,N2,C40H75O10P
,,16:0-18:2 PS,,"InChI=1S/C40H74NO10P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(43)51-36(34-49-52(46,47)50-35-37(41)40(44)45)33-48-38(42)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13,17-18,36-37H,3-10,12,14-16,19-35,41H2,1-2H3,(H,44,45)(H,46,47)/b13-11-,18-17-/t36-,37+/m1/s1",[M+Na]+,"282,00",True,N2,C40H74NO10P
,,16:0-20:4 PA,,"InChI=1/C39H69O8P/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-39(41)47-37(36-46-48(42,43)44)35-45-38(40)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h11,13,17-18,20,22,26,28,37H,3-10,12,14-16,19,21,23-25,27,29-36H2,1-2H3,(H2,42,43,44)/b13-11-,18-17-,22-20-,28-26-/t37-/m1/s1",[M+Na]+,"272,80",True,N2,C39H69O8P
,,16:0-22:6 PA,,"InChI=1/C41H69O8P/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-24-26-28-30-32-34-36-41(43)49-39(38-48-50(44,45)46)37-47-40(42)35-33-31-29-27-25-23-16-14-12-10-8-6-4-2/h5,7,11,13,17-18,20-21,24,26,30,32,39H,3-4,6,8-10,12,14-16,19,22-23,25,27-29,31,33-38H2,1-2H3,(H2,44,45,46)/b7-5-,13-11-,18-17-,21-20-,26-24-,32-30-/t39-/m1/s1",[M+Na]+,"275,27",True,N2,C41H69O8P
,,16:0-22:6 PS,,"InChI=1S/C44H74NO10P/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-24-26-28-30-32-34-36-43(47)55-40(38-53-56(50,51)54-39-41(45)44(48)49)37-52-42(46)35-33-31-29-27-25-23-16-14-12-10-8-6-4-2/h5,7,11,13,17-18,20-21,24,26,30,32,40-41H,3-4,6,8-10,12,14-16,19,22-23,25,27-29,31,33-39,45H2,1-2H3,(H,48,49)(H,50,51)/b7-5-,13-11-,18-17-,21-20-,26-24-,32-30-/t40-,41+/m1/s1",[M+Na]+,"289,83",True,N2,C44H74NO10P
,,18:0-18:2 PA,,"InChI=1/C39H73O8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(40)45-35-37(36-46-48(42,43)44)47-39(41)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h12,14,18,20,37H,3-11,13,15-17,19,21-36H2,1-2H3,(H2,42,43,44)/b14-12-,20-18-/t37-/m1/s1",[M+Na]+,"275,27",True,N2,C39H73O8P
,,18:0-18:2 PS,,"InChI=1/C42H78NO10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(44)50-35-38(36-51-54(48,49)52-37-39(43)42(46)47)53-41(45)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h12,14,18,20,38-39H,3-11,13,15-17,19,21-37,43H2,1-2H3,(H,46,47)(H,48,49)/b14-12-,20-18-/t38-,39+/m1/s1",[M+Na]+,"288,73",True,N2,C42H78NO10P
,,18:0-20:4 PA,,"InChI=1/C41H73O8P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-41(43)49-39(38-48-50(44,45)46)37-47-40(42)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h11,13,17,19,22,24,28,30,39H,3-10,12,14-16,18,20-21,23,25-27,29,31-38H2,1-2H3,(H2,44,45,46)/b13-11-,19-17-,24-22-,30-28-/t39-/m1/s1",[M+Na]+,"279,63",True,N2,C41H73O8P
,,18:0-22:6 PA,,"InChI=1/C43H73O8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-43(45)51-41(40-50-52(46,47)48)39-49-42(44)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,26,28,32,34,41H,3-4,6,8-10,12,14-16,18,20,23-25,27,29-31,33,35-40H2,1-2H3,(H2,46,47,48)/b7-5-,13-11-,19-17-,22-21-,28-26-,34-32-/t41-/m1/s1",[M+Na]+,"282,10",True,N2,C43H73O8P
