SMILES,Adducts
C1=CC=C(C=C1)C(=O)O,M+H
C1=CC=C(C=C1)C(=O)O,M-H
CC1=CC(C2=CC=CC=C2C1=O)=O,M+H
CC1=CC(C2=CC=CC=C2C1=O)=O,M-H
C1=CC(=C(C(=C1)N)O)C(=O)O,M-H
C1=CC(=CC(=C1)O)C(=O)O,M-H
COC=1C=C(C=CC1O)C(CO)OS(O)(=O)=O,M-H+2K
COC=1C=C(C=CC1O)C(CO)OS(O)(=O)=O,M-H
C1=CC=C(C(=C1)C(=O)O)N=CO,M-H2O+H
C1=CC=C(C(=C1)C(=O)O)N=CO,M-H
CN(C)CCC1=CC=C(C=C1)O,M+H
CN(C)CCC1=CC=C(C=C1)O,M-H
COC=1C=C(C=CC1O)C=O,M+H
COC=1C=C(C=CC1O)C=O,M-H
COC=1C=C(C(=C(CO)[H])[H])C=CC1O,M-H2O+H
COC=1C=C(C(=C(CO)[H])[H])C=CC1O,M-H
COC=1C=C(C(=C(CO)[H])[H])C=C(C1O)OC,M-H2O+H
COC=1C=C(C(=C(CO)[H])[H])C=C(C1O)OC,M-H
C=1C=C(C=CC1C(O)=O)N,M+H
C=1C=C(C=CC1C(O)=O)N,M-H
C1=CC=C(C(=C1)C(=O)O)O,M-H
C(CCC(=O)O)CC1(C2(C(CS1)(N=C(N2)O)[H])[H])[H],M+H
C(CCC(=O)O)CC1(C2(C(CS1)(N=C(N2)O)[H])[H])[H],M+Na
C(CCC(=O)O)CC1(C2(C(CS1)(N=C(N2)O)[H])[H])[H],M+K
C(CCC(=O)O)CC1(C2(C(CS1)(N=C(N2)O)[H])[H])[H],M-H
C(CCC(=O)O)CC1(C2(C(CS1)(N=C(N2)O)[H])[H])[H],M+Na-2H
C=CC1=C(C)C(=NC1=C(C2=C(C)C(CCC(=O)O)=C(CC3=C(CCC(=O)O)C(C)=C(C(=C4C(C)=C(C=C)C(=N4)O)[H])N3)N2)[H])O,M-H
CC(C(C=1CNC2=C(C(=NC(=N)N2)O)N1)=O)(O)[H],M+H
